Wavelength_Angs Flux(erg/s/cm2/A)
3.598885254564637307e+03 1.090219989418983459e-02
3.599714023930428539e+03 1.084829960018396378e-02
3.600542984149394670e+03 1.109050028026103973e-02
3.601372135265477937e+03 1.087970007210969925e-02
3.602201477322646952e+03 1.061270013451576233e-02
3.603031010364865324e+03 1.053940039128065109e-02
3.603860734436120765e+03 1.046090014278888702e-02
3.604690649580398258e+03 1.032060012221336365e-02
3.605520755841705522e+03 1.036259997636079788e-02
3.606351053264046641e+03 1.054279971867799759e-02
3.607181541891450706e+03 1.063599996268749237e-02
3.608012221767941810e+03 1.047580037266016006e-02
3.608843092937569054e+03 1.026920042932033539e-02
3.609674155444377902e+03 1.018350012600421906e-02
3.610505409332436557e+03 1.026619970798492432e-02
3.611336854645810490e+03 1.028690021485090256e-02
3.612168491428589732e+03 1.039750035852193832e-02
3.613000319724858855e+03 1.051229983568191528e-02
3.613832339578728352e+03 1.046879962086677551e-02
3.614664551034303258e+03 1.054690033197402954e-02
3.615496954135714532e+03 1.067980006337165833e-02
3.616329548927091309e+03 1.078619994223117828e-02
3.617162335452573188e+03 1.071519963443279266e-02
3.617995313756321138e+03 1.046970020979642868e-02
3.618828483882491582e+03 1.008949987590312958e-02
3.619661845875265499e+03 9.998500347137451172e-03
3.620495399778819319e+03 1.021040044724941254e-02
3.621329145637354941e+03 1.041319966316223145e-02
3.622163083495069714e+03 1.068460009992122650e-02
3.622997213396184634e+03 1.085229963064193726e-02
3.623831535384917515e+03 1.082949992269277573e-02
3.624666049505510728e+03 1.083560008555650711e-02
3.625500755802202093e+03 1.092869974672794342e-02
3.626335654319253990e+03 1.115909963846206665e-02
3.627170745100924250e+03 1.141589973121881485e-02
3.628006028191496625e+03 1.144949998706579208e-02
3.628841503635248955e+03 1.136710029095411301e-02
3.629677171476485455e+03 1.111979968845844269e-02
3.630513031759503974e+03 1.056880038231611252e-02
3.631349084528629191e+03 1.016160007566213608e-02
3.632185329828179420e+03 9.985500015318393707e-03
3.633021767702500256e+03 1.003209967166185379e-02
