Wavelength_Angs Flux(erg/s/cm2/A) flux_err
3.925545166015625000e+03 1.599769878387451172e+01 4.888912141323089600e-01
3.926450195312500000e+03 1.296663665771484375e+01 5.067673921585083008e-01
3.927353515625000000e+03 1.566984272003173828e+01 4.974095821380615234e-01
3.928257080078125000e+03 1.433885860443115234e+01 5.023658275604248047e-01
3.929162841796875000e+03 1.322690200805664062e+01 5.120981931686401367e-01
3.930066650390625000e+03 1.285494327545166016e+01 5.151761770248413086e-01
3.930973144531250000e+03 1.326159191131591797e+01 5.119548439979553223e-01
3.931877441406250000e+03 1.394071388244628906e+01 5.047216415405273438e-01
3.932783935546875000e+03 1.359590435028076172e+01 4.956614673137664795e-01
3.933688720703125000e+03 1.371192646026611328e+01 4.911671280860900879e-01
3.934593750000000000e+03 1.500154876708984375e+01 4.803173542022705078e-01
3.935500976562500000e+03 1.305289173126220703e+01 4.855781793594360352e-01
3.936406250000000000e+03 1.438937759399414062e+01 4.760050475597381592e-01
3.937314208984375000e+03 1.562458324432373047e+01 4.652107059955596924e-01
3.938219970703125000e+03 1.601762008666992188e+01 4.698312580585479736e-01
3.939127929687500000e+03 1.501281452178955078e+01 4.853493273258209229e-01
3.940034179687500000e+03 1.459465980529785156e+01 4.923514127731323242e-01
3.940940673828125000e+03 1.592845726013183594e+01 4.831352531909942627e-01
3.941849365234375000e+03 1.470882797241210938e+01 4.796348214149475098e-01
3.942756103515625000e+03 1.104268836975097656e+01 4.935735166072845459e-01
3.943665283203125000e+03 1.536159324645996094e+01 4.781289994716644287e-01
3.944572509765625000e+03 1.063069629669189453e+01 5.078399181365966797e-01
3.945482177734375000e+03 1.003453063964843750e+01 5.243389010429382324e-01
3.946389892578125000e+03 1.191496849060058594e+01 5.146783590316772461e-01
3.947297851562500000e+03 8.127652168273925781e+00 5.337820649147033691e-01
3.948208007812500000e+03 1.122632217407226562e+01 5.258103013038635254e-01
3.949116210937500000e+03 1.431213665008544922e+01 5.159840583801269531e-01
3.950026855468750000e+03 1.013528537750244141e+01 5.358929038047790527e-01
3.950935546875000000e+03 8.501633644104003906e+00 5.447561740875244141e-01
3.951846679687500000e+03 1.333677005767822266e+01 5.085954666137695312e-01
3.952755859375000000e+03 1.237124919891357422e+01 5.118877887725830078e-01
3.953665039062500000e+03 1.450100231170654297e+01 5.045062303543090820e-01
3.954576904296875000e+03 1.996892166137695312e+01 4.853842854499816895e-01
3.955486572265625000e+03 1.383656978607177734e+01 5.109161138534545898e-01
3.956398681640625000e+03 1.850155639648437500e+01 4.927313327789306641e-01
3.957308837890625000e+03 1.680701446533203125e+01 5.063557624816894531e-01
3.958221435546875000e+03 1.167510795593261719e+01 5.382302403450012207e-01
3.959132080078125000e+03 1.237232875823974609e+01 5.470982193946838379e-01
3.960044921875000000e+03 1.331801033020019531e+01 5.410333871841430664e-01
3.960956054687500000e+03 1.274830913543701172e+01 5.435635447502136230e-01
3.961867187500000000e+03 1.319568252563476562e+01 5.412376523017883301e-01
3.962780761718750000e+03 1.418475532531738281e+01 5.329801440238952637e-01
3.963692382812500000e+03 1.671786499023437500e+01 5.121343135833740234e-01
3.964606445312500000e+03 1.707341575622558594e+01 5.105826854705810547e-01
3.965518554687500000e+03 1.437122917175292969e+01 5.226062536239624023e-01
3.966432861328125000e+03 1.591272258758544922e+01 5.269412398338317871e-01
3.967345458984375000e+03 1.376688289642333984e+01 5.483235120773315430e-01
3.968258056640625000e+03 1.008409500122070312e+01 5.671659111976623535e-01
3.969173095703125000e+03 1.329046344757080078e+01 5.463898181915283203e-01
3.970086181640625000e+03 1.585564136505126953e+01 5.306428074836730957e-01
3.971001708984375000e+03 1.144458675384521484e+01 5.596574544906616211e-01
3.971915283203125000e+03 1.515854930877685547e+01 5.325002074241638184e-01
3.972831298828125000e+03 1.769659423828125000e+01 5.275453329086303711e-01
3.973745117187500000e+03 1.498880100250244141e+01 5.418930053710937500e-01
3.974659179687500000e+03 1.413105678558349609e+01 5.455192923545837402e-01
3.975575927734375000e+03 1.380888080596923828e+01 5.423384308815002441e-01
3.976490478515625000e+03 1.446148109436035156e+01 5.297911167144775391e-01
3.977407470703125000e+03 1.165135860443115234e+01 5.293874144554138184e-01
3.978322509765625000e+03 1.128305530548095703e+01 5.351468920707702637e-01
3.979239746093750000e+03 1.618022918701171875e+01 5.073632597923278809e-01
3.980155273437500000e+03 1.034321022033691406e+01 5.470333695411682129e-01
3.981070800781250000e+03 8.776658058166503906e+00 5.758719444274902344e-01
3.981988769531250000e+03 9.850900650024414062e+00 5.707436203956604004e-01
3.982905029296875000e+03 9.547173500061035156e+00 5.715603828430175781e-01
3.983823242187500000e+03 1.152993106842041016e+01 5.745532512664794922e-01
3.984739746093750000e+03 1.375739097595214844e+01 5.584829449653625488e-01
3.985658691406250000e+03 1.761225318908691406e+01 5.356202721595764160e-01
3.986575683593750000e+03 1.408324527740478516e+01 5.587000846862792969e-01
3.987492675781250000e+03 7.118781089782714844e+00 6.047508120536804199e-01
3.988412109375000000e+03 1.108302497863769531e+01 5.893050432205200195e-01
3.989329833984375000e+03 1.364089584350585938e+01 5.653573274612426758e-01
3.990249755859375000e+03 1.128610801696777344e+01 5.773733854293823242e-01
3.991167724609375000e+03 1.185748195648193359e+01 5.775155425071716309e-01
3.992087890625000000e+03 1.059854125976562500e+01 5.893821716308593750e-01
3.993006347656250000e+03 1.026389408111572266e+01 5.790082216262817383e-01
3.993925048828125000e+03 1.426113700866699219e+01 5.476219058036804199e-01
3.994845947265625000e+03 1.377823352813720703e+01 5.366949439048767090e-01
3.995764892578125000e+03 1.189015674591064453e+01 5.402321815490722656e-01
3.996686279296875000e+03 1.273554229736328125e+01 5.362855195999145508e-01
3.997605712890625000e+03 1.301503944396972656e+01 5.339783430099487305e-01
3.998527587890625000e+03 1.284055137634277344e+01 5.416390299797058105e-01
3.999447509765625000e+03 1.197214889526367188e+01 5.601208209991455078e-01
4.000367431640625000e+03 1.235556602478027344e+01 5.614397525787353516e-01
4.001290039062500000e+03 1.639896965026855469e+01 5.346755385398864746e-01
4.002210449218750000e+03 1.807448959350585938e+01 5.194869637489318848e-01
4.003133300781250000e+03 1.500380420684814453e+01 5.243827700614929199e-01
4.004054443359375000e+03 1.451370429992675781e+01 5.335200428962707520e-01
4.004977539062500000e+03 1.462698936462402344e+01 5.421603918075561523e-01
4.005898925781250000e+03 1.485365009307861328e+01 5.454878211021423340e-01
4.006820556640625000e+03 1.750675201416015625e+01 5.377748012542724609e-01
4.007744628906250000e+03 1.833949089050292969e+01 5.330375432968139648e-01
4.008666503906250000e+03 1.666749572753906250e+01 5.403529405593872070e-01
4.009590820312500000e+03 1.978879165649414062e+01 5.172789096832275391e-01
4.010513183593750000e+03 1.690725898742675781e+01 5.319681763648986816e-01
4.011437988281250000e+03 1.263392543792724609e+01 5.453605651855468750e-01
4.012360839843750000e+03 1.739512634277343750e+01 5.207422971725463867e-01
4.013283935546875000e+03 1.821440505981445312e+01 5.191440582275390625e-01
4.014209472656250000e+03 1.610609436035156250e+01 5.356169342994689941e-01
4.015132812500000000e+03 1.670831680297851562e+01 5.446490645408630371e-01
4.016058837890625000e+03 1.684666252136230469e+01 5.552923083305358887e-01
4.016982666015625000e+03 1.466974925994873047e+01 5.766503214836120605e-01
4.017908935546875000e+03 1.543543910980224609e+01 5.572105050086975098e-01
4.018833251953125000e+03 1.496648693084716797e+01 5.426781177520751953e-01
4.019757812500000000e+03 1.341014575958251953e+01 5.462929010391235352e-01
4.020684814453125000e+03 1.281708812713623047e+01 5.477826595306396484e-01
4.021609619140625000e+03 1.329492473602294922e+01 5.532041192054748535e-01
4.022537109375000000e+03 1.629908561706542969e+01 5.475705862045288086e-01
4.023462402343750000e+03 1.519188594818115234e+01 5.529233217239379883e-01
4.024390136718750000e+03 1.474667072296142578e+01 5.558957457542419434e-01
4.025316162109375000e+03 1.656537246704101562e+01 5.506027936935424805e-01
4.026242187500000000e+03 1.574919223785400391e+01 5.523886680603027344e-01
4.027170410156250000e+03 1.701234626770019531e+01 5.387080311775207520e-01
4.028096923828125000e+03 1.990520858764648438e+01 5.256604552268981934e-01
4.029025878906250000e+03 1.912205505371093750e+01 5.439148545265197754e-01
4.029952636718750000e+03 1.822497367858886719e+01 5.637373328208923340e-01
4.030882080078125000e+03 1.470852661132812500e+01 5.778509974479675293e-01
4.031809326171875000e+03 1.688484954833984375e+01 5.544621944427490234e-01
4.032739013671875000e+03 2.017929840087890625e+01 5.309202671051025391e-01
4.033666748046875000e+03 1.662236213684082031e+01 5.382635593414306641e-01
4.034594726562500000e+03 1.590304279327392578e+01 5.430225729942321777e-01
4.035525146484375000e+03 1.861639595031738281e+01 5.392659902572631836e-01
4.036453369140625000e+03 1.513697910308837891e+01 5.686059594154357910e-01
4.037384277343750000e+03 1.839595222473144531e+01 5.604019761085510254e-01
4.038312988281250000e+03 1.832637023925781250e+01 5.542205572128295898e-01
4.039244140625000000e+03 1.714626884460449219e+01 5.592215657234191895e-01
4.040173583984375000e+03 1.552849960327148438e+01 5.738455653190612793e-01
4.041103027343750000e+03 1.624242401123046875e+01 5.680056214332580566e-01
4.042034667968750000e+03 1.565369796752929688e+01 5.664155483245849609e-01
4.042964599609375000e+03 1.435721969604492188e+01 5.682286620140075684e-01
4.043896972656250000e+03 1.476108169555664062e+01 5.676791667938232422e-01
4.044827148437500000e+03 1.629599952697753906e+01 5.625147819519042969e-01
4.045760009765625000e+03 1.554589366912841797e+01 5.533664822578430176e-01
4.046690673828125000e+03 1.319634914398193359e+01 5.347301363945007324e-01
4.047621582031250000e+03 1.539193344116210938e+01 4.975971877574920654e-01
4.048554931640625000e+03 1.337104415893554688e+01 5.018832683563232422e-01
4.049486328125000000e+03 1.279560661315917969e+01 5.280771851539611816e-01
4.050420166015625000e+03 1.574255466461181641e+01 5.397498607635498047e-01
4.051352050781250000e+03 1.571125888824462891e+01 5.498958230018615723e-01
4.052286132812500000e+03 1.614404678344726562e+01 5.541812777519226074e-01
4.053218505859375000e+03 1.617785644531250000e+01 5.580562353134155273e-01
4.054150878906250000e+03 1.446272468566894531e+01 5.668030381202697754e-01
4.055085693359375000e+03 1.458594989776611328e+01 5.711796283721923828e-01
4.056018554687500000e+03 1.676746368408203125e+01 5.685215592384338379e-01
4.056953857421875000e+03 1.554853916168212891e+01 5.840115547180175781e-01
4.057887207031250000e+03 1.639167594909667969e+01 5.835995078086853027e-01
4.058822998046875000e+03 1.461524009704589844e+01 6.008266806602478027e-01
4.059756591796875000e+03 1.695062828063964844e+01 5.786302089691162109e-01
4.060690673828125000e+03 1.632890319824218750e+01 5.605081915855407715e-01
4.061626953125000000e+03 1.463118648529052734e+01 5.474452972412109375e-01
4.062561279296875000e+03 1.687401962280273438e+01 5.295619964599609375e-01
4.063498291015625000e+03 1.859894180297851562e+01 5.230480432510375977e-01
4.064433105468750000e+03 1.594480991363525391e+01 5.417262911796569824e-01
4.065370117187500000e+03 1.479684352874755859e+01 5.627217292785644531e-01
4.066305419921875000e+03 1.868141746520996094e+01 5.516862273216247559e-01
4.067240966796875000e+03 1.765760803222656250e+01 5.536010861396789551e-01
4.068178710937500000e+03 1.563865947723388672e+01 5.597183108329772949e-01
4.069114746093750000e+03 1.580280017852783203e+01 5.586391687393188477e-01
4.070052978515625000e+03 1.150105381011962891e+01 5.894517302513122559e-01
4.070989257812500000e+03 1.708882713317871094e+01 5.731105208396911621e-01
4.071927978515625000e+03 1.628183364868164062e+01 5.838215947151184082e-01
4.072864746093750000e+03 1.400594234466552734e+01 5.982692837715148926e-01
4.073801757812500000e+03 1.533480834960937500e+01 5.924056768417358398e-01
4.074741210937500000e+03 1.625370407104492188e+01 5.809614658355712891e-01
4.075678710937500000e+03 1.643089675903320312e+01 5.711524486541748047e-01
4.076618408203125000e+03 1.433862495422363281e+01 5.695688128471374512e-01
4.077556152343750000e+03 1.517111301422119141e+01 5.564920306205749512e-01
4.078496582031250000e+03 1.585595512390136719e+01 5.648247599601745605e-01
4.079434814453125000e+03 1.642211914062500000e+01 5.676017999649047852e-01
4.080373291015625000e+03 1.503747081756591797e+01 5.752863883972167969e-01
4.081314208984375000e+03 1.619579124450683594e+01 5.753028988838195801e-01
4.082253173828125000e+03 1.467499542236328125e+01 5.768215656280517578e-01
4.083194335937500000e+03 1.495167922973632812e+01 5.690293908119201660e-01
4.084133789062500000e+03 1.727983856201171875e+01 5.546233654022216797e-01
4.085075683593750000e+03 1.619851112365722656e+01 5.548465251922607422e-01
4.086015380859375000e+03 1.456840324401855469e+01 5.628709793090820312e-01
4.086955322265625000e+03 1.504734325408935547e+01 5.633093714714050293e-01
4.087897705078125000e+03 1.456171035766601562e+01 5.828617811203002930e-01
4.088838134765625000e+03 1.665674591064453125e+01 5.984362363815307617e-01
4.089781005859375000e+03 1.369441318511962891e+01 6.196261048316955566e-01
4.090721923828125000e+03 1.503241157531738281e+01 6.064249873161315918e-01
4.091665283203125000e+03 1.339220809936523438e+01 6.066947579383850098e-01
4.092606445312500000e+03 1.170860385894775391e+01 6.091481447219848633e-01
4.093548095703125000e+03 1.210434436798095703e+01 6.094919443130493164e-01
4.094491943359375000e+03 1.472855663299560547e+01 6.050433516502380371e-01
4.095433837890625000e+03 1.651238632202148438e+01 6.099264621734619141e-01
4.096378417968750000e+03 1.384555053710937500e+01 6.345449686050415039e-01
4.097320800781250000e+03 1.603897094726562500e+01 6.174986362457275391e-01
4.098265625000000000e+03 1.440419769287109375e+01 6.192818880081176758e-01
4.099208496093750000e+03 1.693964385986328125e+01 5.937173962593078613e-01
4.100151367187500000e+03 1.509436416625976562e+01 6.052638292312622070e-01
4.101096679687500000e+03 1.380966758728027344e+01 6.215319037437438965e-01
4.102040039062500000e+03 1.428642082214355469e+01 6.276978254318237305e-01
4.102986328125000000e+03 1.494704818725585938e+01 6.295748949050903320e-01
4.103930175781250000e+03 1.440926551818847656e+01 6.319931745529174805e-01
4.104876464843750000e+03 1.385152435302734375e+01 6.310546398162841797e-01
4.105820800781250000e+03 1.495555114746093750e+01 6.190232634544372559e-01
4.106767578125000000e+03 1.511325454711914062e+01 6.183054447174072266e-01
4.107712402343750000e+03 1.270425605773925781e+01 6.423024535179138184e-01
4.108657226562500000e+03 1.505603313446044922e+01 6.107541322708129883e-01
4.109604492187500000e+03 1.329772663116455078e+01 6.094985604286193848e-01
4.110550292968750000e+03 1.323765945434570312e+01 6.057209372520446777e-01
4.111498046875000000e+03 1.377872276306152344e+01 6.066750884056091309e-01
4.112443847656250000e+03 1.189121627807617188e+01 6.302335262298583984e-01
4.113392089843750000e+03 1.246229934692382812e+01 6.416273713111877441e-01
4.114338378906250000e+03 1.472035312652587891e+01 6.291538476943969727e-01
4.115285156250000000e+03 1.567461299896240234e+01 6.207135319709777832e-01
4.116233886718750000e+03 1.980342483520507812e+01 5.912235379219055176e-01
4.117180664062500000e+03 2.711100959777832031e+01 5.441099405288696289e-01
4.118130371093750000e+03 2.448769378662109375e+01 5.615799427032470703e-01
4.119077636718750000e+03 2.164838409423828125e+01 5.883211493492126465e-01
4.120027343750000000e+03 9.937882423400878906e+00 6.787052750587463379e-01
